phpmyadmin-1  | 2025-10-14T20:40:32.392942031Z 10.11.202.14 - - [14/Oct/2025:20:40:32 +0000] "\n" 400 484 "-" "-"
phpmyadmin-1  | 2025-10-14T20:41:38.737677587Z 10.11.202.14 - - [14/Oct/2025:20:41:38 +0000] "GET /healthz HTTP/1.1" 404 436 "-" "curl/7.88.1"
phpmyadmin-1  | 2025-10-14T20:42:22.321063649Z 10.11.202.14 - - [14/Oct/2025:20:42:22 +0000] "GET /healthz HTTP/1.1" 404 436 "-" "curl/7.88.1"
phpmyadmin-1  | 2025-10-14T20:44:24.879958710Z 10.11.202.14 - - [14/Oct/2025:20:44:24 +0000] "GET /healthz HTTP/1.1" 404 436 "-" "curl/7.88.1"
phpmyadmin-1  | 2025-10-14T20:44:24.897567230Z 10.11.202.14 - - [14/Oct/2025:20:44:24 +0000] "GET /api/healthz HTTP/1.1" 404 436 "-" "curl/7.88.1"
phpmyadmin-1  | 2025-10-14T20:44:24.912221030Z 10.11.202.14 - - [14/Oct/2025:20:44:24 +0000] "GET /status HTTP/1.1" 404 436 "-" "curl/7.88.1"
phpmyadmin-1  | 2025-10-14T20:44:24.932010103Z 10.11.202.14 - - [14/Oct/2025:20:44:24 +0000] "GET /api/list-documents HTTP/1.1" 404 436 "-" "curl/7.88.1"
phpmyadmin-1  | 2025-10-14T20:52:05.769756755Z 10.11.202.14 - - [14/Oct/2025:20:52:05 +0000] "GET /healthz HTTP/1.1" 404 436 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.176508567Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /flag HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.195041736Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /app/flag HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.211743668Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /var/www/flag HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.230643363Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /srv/flag HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.249172008Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /static/flag HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.264595861Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /flag HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.281531561Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /.env HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.297657174Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /env HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.314119530Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /debug HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.329378722Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /config HTTP/1.1" 404 207 "-" "curl/7.88.1"
server-1      | 2025-10-18T08:29:38.346325762Z 10.11.202.14 - - [18/Oct/2025:08:29:38 +0000] "GET /server-status HTTP/1.1" 404 207 "-" "curl/7.88.1"
